"rpm0","rpm1","rpm2","rpm3","angle0","angle1","angle2","angle3","deltaAngle0","deltaAngle1","deltaAngle2","deltaAngle3","tics0","tics1","tics2","tics3","deltaTics0","deltaTics1","deltaTics2","deltaTics3"
52,52,0,0,0,0,0,0,0,0,0,0,47,698,663,4,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,49,698,663,4,2,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,51,698,663,4,2,0,0,0
52,52,0,0,0,0,0,0,0,0,0,0,53,700,663,4,2,2,0,0
52,0,0,0,0,0,0,0,0,0,0,0,55,700,663,4,2,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,57,700,663,4,2,0,0,0
52,8,0,0,0,0,0,0,0,0,0,0,59,701,663,4,2,1,0,0
52,52,0,0,0,0,0,0,0,0,0,0,61,703,663,4,2,2,0,0
52,0,0,0,0,0,0,0,0,0,0,0,63,703,663,4,2,0,0,0
52,52,0,0,0,0,0,0,0,0,0,0,65,705,663,4,2,2,0,0
52,0,0,0,0,0,0,0,0,0,0,0,67,705,663,4,2,0,0,0
52,13,0,0,0,0,0,0,0,0,0,0,69,706,663,4,2,1,0,0
52,52,0,0,0,0,0,0,0,0,0,0,71,708,663,4,2,2,0,0
52,26,0,0,0,0,0,0,0,0,0,0,73,709,663,4,2,1,0,0
52,26,0,0,0,0,0,0,0,0,0,0,75,710,663,4,2,1,0,0
52,0,0,0,0,0,0,0,0,0,0,0,77,711,663,4,2,1,0,0
52,17,0,0,0,0,0,0,0,0,0,0,79,712,663,4,2,1,0,0
52,26,0,0,0,0,0,0,0,0,0,0,81,713,663,4,2,1,0,0
52,52,0,0,0,0,0,0,0,0,0,0,83,715,663,4,2,2,0,0
52,26,0,0,0,0,0,0,0,0,0,0,85,716,663,4,2,1,0,0
52,0,0,0,0,0,0,0,0,0,0,0,87,717,663,4,2,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,88,717,663,5,1,0,0,1
26,13,0,0,0,0,0,0,0,0,0,0,89,718,663,5,1,1,0,0
52,0,0,0,0,0,0,0,0,0,0,0,91,718,663,5,2,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,93,718,663,5,2,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,95,718,663,5,2,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,97,719,663,5,2,1,0,0
52,0,0,0,0,0,0,0,0,0,0,0,99,719,663,5,2,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,101,719,663,5,2,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,103,719,663,5,2,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,105,719,663,5,2,0,0,0
51,35,0,2,0,0,0,0,0,0,0,0,108,721,663,6,3,2,0,1
0,366,366,0,0,0,0,0,0,0,0,0,108,745,688,6,0,24,25,0
0,352,352,0,0,0,0,0,0,0,0,0,108,771,714,6,0,26,26,0
0,366,366,0,0,0,0,0,0,0,0,0,108,797,740,6,0,26,26,0
0,366,366,0,0,0,0,0,0,0,0,0,108,823,766,6,0,26,26,0
0,373,373,0,0,0,0,0,0,0,0,0,108,849,792,6,0,26,26,0
0,366,366,0,0,0,0,0,0,0,0,0,108,875,818,6,0,26,26,0
0,353,353,0,0,0,0,0,0,0,0,0,108,900,843,6,0,25,25,0
0,0,0,0,0,0,0,0,0,0,0,0,108,900,843,6,0,0,0,0
5,25,14,2,2,2,2,2,2,2,2,2,111,903,844,7,3,3,1,1
287,266,50,92,13,13,13,13,11,11,11,11,121,915,845,11,10,12,1,4
52,0,0,0,9,8,8,8,-4,-5,-5,-5,126,915,845,11,5,0,0,0
533,0,0,0,9,10,10,10,0,2,2,2,148,915,845,11,22,0,0,0
0,13,0,8,10,10,10,10,1,0,0,0,148,917,845,12,0,2,0,1
11,0,6,0,10,10,10,10,0,0,0,0,149,917,846,12,1,0,1,0
0,13,15,13,10,10,10,10,0,0,0,0,149,918,847,13,0,1,1,1
17,0,15,37,6,6,6,6,-4,-4,-4,-4,150,918,847,14,1,0,0,1
133,43,23,51,0,0,0,0,-6,-6,-6,-6,158,921,848,15,8,3,1,1
31,32,30,30,0,0,0,0,0,0,0,0,159,922,849,17,1,1,1,2
28,31,29,31,0,0,0,0,0,0,0,0,160,923,850,18,1,1,1,1
28,26,0,25,0,0,0,0,0,0,0,0,161,924,851,19,1,1,1,1
22,19,25,0,0,0,0,0,0,0,0,0,162,925,852,19,1,1,1,0
0,0,15,19,0,0,0,0,0,0,0,0,162,925,853,20,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,162,925,853,20,0,0,0,0
0,9,0,0,0,0,0,0,0,0,0,0,163,926,853,20,1,1,0,0
13,0,0,8,0,0,0,0,0,0,0,0,164,926,853,21,1,0,0,1
500,0,7,0,0,0,0,0,0,0,0,0,189,926,854,21,25,0,1,0
23,10,18,13,0,0,0,0,0,0,0,0,190,927,855,22,1,1,1,1
28,32,27,32,0,0,0,0,0,0,0,0,191,929,856,24,1,2,1,2
152,35,40,37,0,0,0,0,0,0,0,0,198,930,858,25,7,1,2,1
41,45,47,47,0,0,0,0,0,0,0,0,200,932,860,27,2,2,2,2
50,52,51,50,0,0,0,0,0,0,0,0,205,934,861,29,5,2,1,2
85,54,56,55,0,0,0,0,0,0,0,0,208,936,864,31,3,2,3,2
55,59,59,60,0,0,0,0,0,0,0,0,210,938,866,33,2,2,2,2
56,59,62,60,0,0,0,0,0,0,0,0,213,940,868,35,3,2,2,2
63,62,47,63,0,0,0,0,0,0,0,0,216,943,871,38,3,3,3,3
49,63,66,63,0,0,0,0,0,0,0,0,219,945,873,40,3,2,2,2
70,66,50,66,0,0,0,0,0,0,0,0,221,948,876,43,2,3,3,3
50,66,70,51,0,0,0,0,0,0,0,0,224,950,878,46,3,2,2,3
66,68,72,68,0,0,0,0,0,0,0,0,226,953,881,48,2,3,3,2
68,52,54,51,0,0,0,0,0,0,0,0,229,956,884,51,3,3,3,3
52,70,74,54,0,0,0,0,0,0,0,0,232,958,886,54,3,2,2,3
72,53,54,70,0,0,0,0,0,0,0,0,233,960,888,55,1,2,2,1
53,76,54,54,0,0,0,0,0,0,0,0,236,962,891,58,3,2,3,3
54,74,70,72,0,0,0,0,0,0,0,0,239,965,893,60,3,3,2,2
68,74,72,74,0,0,0,0,0,0,0,0,241,968,896,63,2,3,3,3
68,56,72,74,0,0,0,0,0,0,0,0,244,971,899,66,3,3,3,3
70,57,74,76,0,0,0,0,0,0,0,0,247,974,902,69,3,3,3,3
68,57,56,57,0,0,0,0,0,0,0,0,251,977,905,72,4,3,3,3
55,76,57,57,0,0,0,0,0,0,0,0,254,979,908,75,3,2,3,3
86,86,104,118,-18,-19,-19,-19,-18,-19,-19,-19,263,986,918,86,9,7,10,11
76,140,162,170,-46,-50,-50,-50,-28,-31,-31,-31,269,997,928,97,6,11,10,11
78,66,235,108,-80,-87,-88,-87,-34,-37,-38,-37,276,1001,935,102,7,4,7,5
152,62,112,235,-97,-96,-96,-96,-17,-9,-8,-9,285,1005,942,109,9,4,7,7
72,80,57,78,-87,-86,-85,-85,10,10,11,11,292,1013,945,112,7,8,3,3
80,61,60,78,-90,-91,-91,-91,-3,-5,-6,-6,297,1016,948,115,5,3,3,3
66,65,66,66,-90,-89,-90,-89,0,2,1,2,302,1019,951,119,5,3,3,4
88,71,70,70,-90,-89,-89,-89,0,0,1,0,305,1023,955,122,3,4,4,3
74,75,98,74,-90,-89,-89,-89,0,0,0,0,309,1026,958,126,4,3,3,4
78,74,74,76,-90,-89,-89,-89,0,0,0,0,313,1030,962,130,4,4,4,4
78,75,78,78,-90,-89,-89,-89,0,0,0,0,317,1034,966,134,4,4,4,4
78,80,80,80,-90,-89,-89,-89,0,0,0,0,321,1038,970,138,4,4,4,4
129,76,78,78,-90,-89,-89,-89,0,0,0,0,326,1042,974,142,5,4,4,4
73,80,80,81,-90,-89,-89,-89,0,0,0,0,331,1046,978,146,5,4,4,4
85,81,83,81,-90,-89,-89,-89,0,0,0,0,335,1050,982,150,4,4,4,4
81,78,80,80,-90,-89,-89,-89,0,0,0,0,339,1054,987,154,4,4,5,4
85,73,83,81,-90,-89,-89,-89,0,0,0,0,343,1059,991,158,4,5,4,4
83,81,83,75,-90,-89,-89,-89,0,0,0,0,345,1061,993,161,2,2,2,3
187,240,187,244,-82,-82,-82,-82,8,7,7,7,356,1071,1003,171,11,10,10,10
98,95,72,74,-52,-49,-51,-49,30,33,31,33,359,1077,1008,176,3,6,5,5
64,86,74,88,-18,-12,-15,-12,34,37,36,37,363,1080,1012,179,4,3,4,3
59,96,57,80,15,24,19,24,33,36,34,36,367,1086,1016,183,4,6,4,4
123,76,78,111,48,62,54,61,33,38,35,37,378,1089,1019,188,11,3,3,5
66,88,186,222,70,68,71,68,22,6,17,7,386,1092,1030,198,8,3,11,10
62,63,83,83,64,63,63,63,-6,-5,-8,-5,394,1096,1034,202,8,4,4,4
75,65,70,71,65,67,66,66,1,4,3,3,398,1099,1038,206,4,3,4,4
72,71,72,74,66,65,66,66,1,-2,0,0,402,1103,1042,210,4,4,4,4
78,95,74,75,66,65,66,66,0,0,0,0,406,1106,1045,213,4,3,3,3
76,75,75,76,66,66,66,66,0,1,0,0,410,1110,1049,217,4,4,4,4
183,245,117,125,88,89,87,87,22,23,21,21,424,1123,1059,226,14,13,10,9
75,74,140,205,93,94,95,95,5,5,8,8,427,1130,1068,236,3,7,9,10
78,80,76,75,88,86,86,86,-5,-8,-9,-9,431,1134,1072,240,4,4,4,4
78,102,76,80,90,91,90,90,2,5,4,4,435,1137,1076,244,4,3,4,4
78,80,80,80,90,89,90,90,0,-2,0,0,439,1141,1080,248,4,4,4,4
73,83,78,81,90,89,89,90,0,0,-1,0,444,1146,1084,252,5,5,4,4
83,81,81,83,86,86,86,86,-4,-3,-3,-4,449,1151,1090,257,5,5,6,5
86,81,83,83,86,86,86,86,0,0,0,0,453,1155,1094,262,4,4,4,5
83,83,81,85,86,86,86,86,0,0,0,0,457,1159,1098,266,4,4,4,4
74,81,81,83,86,86,86,86,0,0,0,0,462,1163,1102,270,5,4,4,4
83,73,81,75,86,86,86,86,0,0,0,0,466,1168,1107,275,4,5,5,5
85,81,83,85,86,86,86,86,0,0,0,0,470,1172,1111,279,4,4,4,4
74,81,81,83,86,86,86,86,0,0,0,0,475,1176,1115,283,5,4,4,4
81,83,83,83,86,86,86,86,0,0,0,0,479,1180,1119,287,4,4,4,4
83,81,74,74,86,86,86,86,0,0,0,0,481,1182,1122,290,2,2,3,3
81,85,83,83,86,86,86,86,0,0,0,0,485,1186,1126,294,4,4,4,4
75,83,85,83,86,86,86,86,0,0,0,0,490,1191,1130,298,5,5,4,4
83,86,81,83,86,86,86,86,0,0,0,0,494,1195,1134,302,4,4,4,4
88,81,85,83,86,86,86,86,0,0,0,0,498,1199,1139,307,4,4,5,5
78,76,80,80,90,91,91,90,4,5,5,4,502,1203,1143,311,4,4,4,4
230,205,205,222,69,68,69,69,-21,-23,-22,-21,517,1217,1158,327,15,14,15,16
131,180,259,216,34,33,32,33,-35,-35,-37,-36,525,1230,1173,339,8,13,15,12
114,251,226,209,0,-3,-6,-4,-34,-36,-38,-37,528,1246,1188,355,3,16,15,16
101,186,201,194,-3,-3,-3,-3,-3,0,3,1,537,1258,1203,368,9,12,15,13
121,142,190,190,2,3,4,3,5,6,7,6,539,1260,1214,378,2,2,11,10
48,48,102,106,0,-1,-2,-1,-2,-4,-6,-4,543,1264,1217,386,4,4,3,8
0,42,0,23,0,0,0,0,0,1,2,1,543,1265,1218,387,0,1,1,1
30,37,20,0,0,0,0,0,0,0,0,0,545,1266,1219,387,2,1,1,0
39,326,16,353,-22,-23,-22,-22,-22,-23,-22,-22,548,1278,1220,412,3,12,1,25
28,253,80,126,-55,-58,-59,-57,-33,-35,-37,-35,549,1287,1227,420,1,9,7,8
19,31,69,0,-90,-94,-96,-94,-35,-36,-37,-37,550,1289,1231,420,1,2,4,0
478,95,251,215,-93,-92,-92,-93,-3,2,4,1,571,1292,1251,434,21,3,20,14
0,75,110,118,-65,-63,-62,-63,28,29,30,30,571,1300,1259,445,0,8,8,11
0,106,28,0,-32,-28,-26,-28,33,35,36,35,571,1302,1260,445,0,2,1,0
0,70,0,0,1,5,9,7,33,33,35,35,571,1306,1260,445,0,4,0,0
0,47,0,0,34,40,45,42,33,35,36,35,571,1309,1260,445,0,3,0,0
10,0,0,0,68,76,82,78,34,36,37,36,574,1309,1260,445,3,0,0,0
380,11,372,9,55,64,72,67,-13,-12,-10,-11,591,1310,1284,447,17,1,24,2
0,88,71,13,22,30,37,34,-33,-34,-35,-33,591,1323,1291,448,0,13,7,1
18,88,71,117,5,13,19,16,-17,-17,-18,-18,592,1323,1291,450,1,0,0,2
49,61,29,56,-28,-23,-18,-20,-33,-36,-37,-36,595,1328,1293,454,3,5,2,4
39,46,60,54,-62,-60,-55,-57,-34,-37,-37,-37,607,1330,1296,457,12,2,3,3
206,72,71,59,-96,-97,-93,-94,-34,-37,-38,-37,616,1334,1301,461,9,4,5,4
152,231,201,203,-84,-87,-85,-85,12,10,8,9,625,1352,1318,479,9,18,17,18
0,25,33,222,-52,-53,-51,-50,32,34,34,35,625,1353,1320,480,0,1,2,1
20,0,0,26,-18,-18,-15,-14,34,35,36,36,626,1353,1320,481,1,0,0,1
444,19,23,14,15,17,20,21,33,35,35,35,655,1355,1321,482,29,2,1,1
488,0,17,0,48,53,55,57,33,36,35,36,665,1355,1322,482,10,0,1,0
16,209,22,0,81,89,90,92,33,36,35,35,666,1370,1323,482,1,15,1,0
87,121,134,96,105,106,106,105,24,17,16,13,669,1372,1334,489,3,2,11,7
32,32,0,76,105,105,104,105,0,-1,-2,0,671,1374,1334,490,2,2,0,1
888,93,126,109,83,83,83,85,-22,-22,-21,-20,686,1389,1344,503,15,15,10,13
238,70,30,250,50,47,48,50,-33,-36,-35,-35,693,1395,1346,505,7,6,2,2
70,333,129,31,15,11,10,14,-35,-36,-38,-36,706,1400,1348,507,13,5,2,2
271,67,25,32,-18,-25,-27,-22,-33,-36,-37,-36,721,1407,1349,508,15,7,1,1
84,121,24,35,-52,-62,-65,-59,-34,-37,-38,-37,727,1414,1350,509,6,7,1,1
232,162,183,214,-41,-52,-57,-50,11,10,8,9,746,1429,1369,526,19,15,19,17
380,500,178,152,-8,-18,-23,-17,33,34,34,33,755,1431,1384,537,9,2,15,11
0,0,33,888,6,8,7,8,14,26,30,25,755,1431,1390,550,0,0,6,13
0,0,313,0,-2,-2,0,-2,-8,-10,-7,-10,755,1431,1414,550,0,0,24,0
0,78,339,0,0,0,-1,0,2,2,-1,2,755,1437,1438,550,0,6,24,0
0,52,0,0,0,0,1,0,0,0,2,0,755,1439,1438,550,0,2,0,0
0,52,0,0,0,0,0,0,0,0,-1,0,755,1441,1438,550,0,2,0,0
0,353,341,0,-21,-22,-22,-22,-21,-22,-22,-22,755,1465,1459,550,0,24,21,0
3,80,0,0,-54,-57,-58,-56,-33,-35,-36,-34,756,1471,1459,550,1,6,0,0
3,235,24,0,-55,-59,-61,-59,-1,-2,-3,-3,756,1476,1461,550,0,5,2,0
114,353,444,0,-27,-31,-33,-32,28,28,28,27,768,1499,1464,550,12,23,3,0
88,666,0,0,4,2,1,2,31,33,34,34,780,1513,1464,550,12,14,0,0
0,219,370,0,1,2,4,3,-3,0,3,1,780,1531,1489,550,0,18,25,0
0,111,121,0,-1,-2,-3,-3,-2,-4,-7,-6,780,1537,1490,550,0,6,1,0
0,368,0,0,-22,-23,-24,-23,-21,-21,-21,-20,780,1562,1490,550,0,25,0,0
6,62,0,0,-55,-57,-59,-58,-33,-34,-35,-35,781,1564,1490,550,1,2,0,0
0,55,0,0,-89,-93,-95,-94,-34,-36,-36,-36,781,1565,1490,550,0,1,0,0
282,353,0,353,-76,-83,-85,-85,13,10,10,9,803,1587,1490,573,22,22,0,23
352,366,352,366,-44,-50,-51,-51,32,33,34,34,829,1614,1505,599,26,27,15,26
360,405,366,376,-11,-16,-16,-16,33,34,35,35,850,1633,1531,609,21,19,26,10
0,0,392,0,7,8,9,9,18,24,25,25,850,1633,1552,609,0,0,21,0
0,0,89,0,-2,-2,-3,-3,-9,-10,-12,-12,850,1633,1559,609,0,0,7,0
0,0,366,0,-26,-27,-29,-28,-24,-25,-26,-25,850,1633,1585,609,0,0,26,0
0,6,0,0,-59,-62,-65,-63,-33,-35,-36,-35,850,1634,1585,609,0,1,0,0
5,38,21,0,-92,-95,-98,-96,-33,-33,-33,-33,851,1636,1586,609,1,2,1,0
470,60,0,0,-92,-91,-90,-91,0,4,8,5,869,1640,1586,609,18,4,0,0
106,198,66,0,-64,-62,-61,-62,28,29,29,29,870,1655,1599,609,1,15,13,0
0,366,366,0,-32,-29,-26,-27,32,33,35,35,870,1681,1625,609,0,26,26,0
533,380,311,0,1,3,6,5,33,32,32,32,872,1694,1644,609,2,13,19,0
95,205,0,0,2,1,1,1,1,-2,-5,-4,879,1709,1644,609,7,15,0,0
52,74,59,0,-2,-1,-2,-2,-4,-2,-3,-3,881,1712,1653,609,2,3,9,0
52,52,0,0,0,0,1,0,2,1,3,2,883,1714,1653,609,2,2,0,0
52,52,0,0,0,0,0,0,0,0,-1,0,885,1716,1653,609,2,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,885,1716,1653,609,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,885,1716,1653,609,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,885,1716,1653,609,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,885,1716,1653,609,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,886,1716,1653,609,1,0,0,0
0,4,0,0,0,0,0,0,0,0,0,0,886,1717,1653,609,0,1,0,0
105,0,0,1,0,0,0,0,0,0,0,0,902,1717,1653,610,16,0,0,1
470,13,3,0,0,0,0,0,0,0,0,0,919,1718,1654,610,17,1,1,0
22,24,19,16,0,0,0,0,0,0,0,0,920,1719,1655,611,1,1,1,1
205,37,42,38,0,0,0,0,0,0,0,0,928,1720,1657,613,8,1,2,2
49,47,46,51,0,0,0,0,0,0,0,0,932,1722,1658,615,4,2,1,2
113,60,60,60,0,0,0,0,0,0,0,0,940,1724,1661,617,8,2,3,2
111,51,72,52,0,0,0,0,0,0,0,0,943,1727,1663,620,3,3,2,3
88,57,78,57,0,0,0,0,0,0,0,0,946,1730,1666,623,3,3,3,3
88,62,63,63,0,0,0,0,0,0,0,0,949,1733,1670,626,3,3,4,3
66,88,67,88,0,0,0,0,0,0,0,0,953,1736,1673,629,4,3,3,3
72,68,70,70,0,0,0,0,0,0,0,0,956,1740,1677,633,3,4,4,4
71,95,74,74,0,0,0,0,0,0,0,0,960,1743,1680,637,4,3,3,4
72,71,74,74,3,3,3,2,3,3,3,2,964,1747,1684,640,4,4,4,3
74,78,75,75,3,3,3,2,0,0,0,0,967,1751,1688,644,3,4,4,4
78,75,76,76,3,3,3,2,0,0,0,0,971,1755,1692,648,4,4,4,4
76,75,80,78,3,3,3,2,0,0,0,0,975,1759,1696,652,4,4,4,4
78,81,80,81,3,3,3,2,0,0,0,0,979,1763,1700,656,4,4,4,4
81,80,80,80,3,3,3,2,0,0,0,0,983,1767,1704,660,4,4,4,4
80,80,81,81,3,3,3,2,0,0,0,0,988,1771,1708,664,5,4,4,4
83,85,81,72,3,3,3,2,0,0,0,0,992,1775,1712,669,4,4,4,5
81,81,73,81,3,3,3,2,0,0,0,0,996,1779,1717,673,4,4,5,4
81,81,81,81,0,0,1,0,-3,-3,-2,-2,998,1781,1719,675,2,2,2,2
83,81,81,81,0,0,0,0,0,0,-1,0,1002,1786,1723,679,4,5,4,4
73,81,83,83,0,0,0,0,0,0,0,0,1007,1791,1727,683,5,5,4,4
81,81,83,81,0,-1,0,-1,0,-1,0,-1,1011,1795,1731,687,4,4,4,4
80,81,73,80,0,-1,0,-1,0,0,0,0,1015,1799,1736,692,4,4,5,5
85,83,78,81,-4,-4,-4,-4,-4,-3,-4,-3,1019,1803,1740,696,4,4,4,4
83,75,81,83,-14,-14,-14,-14,-10,-10,-10,-10,1023,1808,1744,700,4,5,4,4
72,83,85,85,-14,-14,-14,-14,0,0,0,0,1028,1812,1748,704,5,4,4,4
81,81,83,81,-14,-13,-13,-13,0,1,1,1,1032,1816,1752,708,4,4,4,4
85,83,72,74,-23,-23,-23,-23,-9,-10,-10,-10,1036,1820,1759,714,4,4,7,6
85,83,83,83,-23,-23,-23,-23,0,0,0,0,1040,1824,1763,718,4,4,4,4
81,74,83,81,-25,-25,-24,-25,-2,-2,-1,-2,1044,1829,1767,722,4,5,4,4
83,83,81,83,-27,-27,-27,-27,-2,-2,-3,-2,1049,1833,1771,726,5,4,4,4
83,83,74,81,-27,-27,-27,-27,0,0,0,0,1053,1837,1776,730,4,4,5,4
81,83,83,81,-27,-27,-27,-27,0,0,0,0,1057,1841,1780,735,4,4,4,5
76,85,81,81,-31,-32,-31,-31,-4,-5,-4,-4,1062,1846,1784,739,5,5,4,4
80,81,85,83,-32,-32,-32,-32,-1,0,-1,-1,1066,1850,1788,743,4,4,4,4
86,86,78,83,-36,-37,-36,-37,-4,-5,-4,-5,1070,1854,1793,747,4,4,5,4
80,81,85,81,-38,-38,-38,-38,-2,-1,-2,-1,1074,1858,1797,752,4,4,4,5
73,83,81,81,-40,-40,-39,-40,-2,-2,-1,-2,1079,1863,1801,756,5,5,4,4
78,81,80,78,-44,-45,-45,-45,-4,-5,-6,-5,1083,1867,1805,760,4,4,4,4
80,78,80,78,-46,-46,-46,-46,-2,-1,-1,-1,1087,1871,1809,764,4,4,4,4
83,78,76,80,-52,-52,-52,-52,-6,-6,-6,-6,1091,1875,1813,768,4,4,4,4
76,76,78,75,-54,-54,-54,-54,-2,-2,-2,-2,1095,1879,1817,772,4,4,4,4
78,78,74,76,-62,-63,-63,-63,-8,-9,-9,-9,1099,1884,1821,776,4,5,4,4
76,75,74,74,-65,-65,-65,-65,-3,-2,-2,-2,1101,1886,1823,778,2,2,2,2
75,74,74,98,-67,-67,-67,-67,-2,-2,-2,-2,1105,1890,1827,781,4,4,4,3
80,76,75,75,-70,-70,-70,-70,-3,-3,-3,-3,1109,1894,1830,785,4,4,3,4
75,78,74,75,-73,-74,-74,-74,-3,-4,-4,-4,1113,1897,1834,789,4,3,4,4
75,74,71,72,-77,-77,-77,-77,-4,-3,-3,-3,1117,1901,1838,793,4,4,4,4
72,71,74,74,-77,-77,-77,-77,0,0,0,0,1120,1905,1842,797,3,4,4,4
74,70,72,95,-74,-74,-74,-74,3,3,3,3,1124,1909,1845,800,4,4,3,3
63,66,76,71,-56,-56,-56,-56,18,18,18,18,1133,1915,1849,804,9,6,4,4
71,95,133,137,-55,-55,-55,-55,1,1,1,1,1136,1918,1853,808,3,3,4,4
225,218,203,193,-35,-35,-36,-35,20,20,19,20,1149,1932,1866,820,13,14,13,12
197,226,248,261,-2,0,-2,0,33,35,34,35,1164,1945,1881,836,15,13,15,16
48,230,237,198,4,4,6,5,6,4,8,5,1165,1954,1890,844,1,9,9,8
296,100,203,211,-15,-17,-16,-16,-19,-21,-22,-21,1171,1964,1898,853,6,10,8,9
34,37,34,31,-9,-8,-10,-9,6,9,6,7,1173,1965,1902,858,2,1,4,5
102,333,133,55,-27,-27,-26,-26,-18,-19,-16,-17,1178,1977,1910,863,5,12,8,5
35,41,72,0,-27,-29,-29,-29,0,-2,-3,-3,1180,1979,1915,863,2,2,5,0
0,0,51,16,-22,-21,-21,-20,5,8,8,9,1181,1979,1916,864,1,0,1,1
16,14,62,0,-36,-37,-37,-37,-14,-16,-16,-17,1182,1980,1920,864,1,1,4,0
59,32,88,54,-32,-32,-33,-33,4,5,4,4,1184,1982,1924,870,2,2,4,6
472,20,20,20,-32,-32,-32,-31,0,0,1,2,1203,1983,1925,871,19,1,1,1
28,60,24,24,-33,-33,-33,-33,-1,-1,-1,-2,1204,1985,1926,872,1,2,1,1
46,32,29,30,-29,-29,-29,-29,4,4,4,4,1206,1986,1927,873,2,1,1,1
270,81,37,37,-22,-22,-22,-22,7,7,7,7,1220,1990,1929,875,14,4,2,2
95,39,111,37,-11,-10,-11,-11,11,12,11,11,1225,1992,1933,876,5,2,4,1
45,83,45,42,3,3,4,4,14,13,15,15,1237,1999,1936,878,12,7,3,2
277,47,45,45,0,0,0,0,-3,-3,-4,-4,1247,2001,1941,879,10,2,5,1
55,47,49,47,-1,-1,-2,-1,-1,-1,-2,-1,1248,2002,1942,880,1,1,1,1
296,54,52,52,0,0,0,0,1,1,2,1,1258,2004,1944,882,10,2,2,2
91,53,53,41,3,1,1,1,3,1,1,1,1264,2007,1946,885,6,3,2,3
60,56,62,60,6,7,7,7,3,6,6,6,1270,2011,1948,887,6,4,2,2
62,90,59,59,8,7,7,7,2,0,0,0,1279,2014,1950,889,9,3,2,2
156,63,47,63,11,11,11,11,3,4,4,4,1288,2016,1953,891,9,2,3,2
266,66,63,63,15,15,15,15,4,4,4,4,1295,2019,1955,894,7,3,2,3
144,57,50,66,18,18,18,17,3,3,3,2,1303,2022,1958,896,8,3,3,2
146,105,70,68,18,18,18,18,0,0,0,1,1311,2026,1960,899,8,4,2,3
123,51,53,52,19,19,19,19,1,1,1,1,1317,2029,1963,902,6,3,3,3
71,58,54,68,20,20,20,20,1,1,1,1,1323,2032,1966,904,6,3,3,2
108,72,74,70,23,22,23,22,3,2,3,2,1331,2035,1968,907,8,3,2,3
55,74,76,70,23,23,23,23,0,1,0,1,1340,2038,1971,910,9,3,3,3
56,55,76,54,26,26,26,25,3,3,3,2,1349,2041,1974,913,9,3,3,3
57,57,76,56,29,29,29,29,3,3,3,4,1358,2044,1977,916,9,3,3,3
54,76,57,56,33,33,33,33,4,4,4,4,1366,2049,1980,919,8,5,3,3
54,56,56,74,36,36,36,36,3,3,3,3,1374,2052,1983,921,8,3,3,2
74,78,54,78,36,36,36,36,0,0,0,0,1381,2054,1986,924,7,2,3,3
72,78,55,76,39,39,39,39,3,3,3,3,1388,2057,1989,927,7,3,3,3
70,74,72,72,41,41,40,40,2,2,1,1,1392,2060,1991,930,4,3,2,3
72,55,70,54,41,41,41,41,0,0,1,1,1399,2063,1994,933,7,3,3,3
130,54,70,54,41,41,41,41,0,0,0,0,1406,2066,1997,936,7,3,3,3
93,72,53,72,42,42,42,42,1,1,1,1,1411,2068,2000,938,5,2,3,2
129,72,72,72,42,42,42,42,0,0,0,0,1414,2071,2002,941,3,3,2,3
